a|يك(0.5)
vector|بردار(0.75),حامل(0.5),مسير(0.5),خصيصه نما(0.25),جهت(0.25),خط سير(0.25),شعاع حامل(0.25),بوسيله بردار رهبري كردن(0.25)
vegetable|سبزي(0.75),گياه(0.5),نبات(0.25),رستني(0.25)
vegetation|پوشش گياهي(0.75)
vehement|شديد(0.75),تند(0.75),غضبناك(0.75),با حرارت زياد(0.75)
vehicle|وسيله نقليه(0.75),حامل(0.5),ناقل(0.25),رسانه(0.25),برندگر(0.25),رسانگر(0.25)
vendor|فروشنده(0.75),دستفروش(0.5),بايع(0.25),طواف(0.25)
venezuelan|ونزوئلا(0.75)
venue|محل دادرسي(0.5),اغاز(0.25),محل وقوع جرم يا دعوي(0.25),حوزه صلاحيت دادگاه(0.25)
verdict|حكم(0.75),راي(0.5),قضاوت(0.5),راي هيئت منصفه(0.25),فتوي(0.25),نظر(0.25)
verification|تاييد(0.75),تصديق(0.5),رسيدگي(0.5),مميزي(0.5),تحقيق(0.5),مقابله(0.25),باز بيني(0.25)
vermuyden|vermuyden(0.75)
verona|ورونا(0.75)
verse|شعر(0.75),نظم(0.5),بنظم اوردن(0.25),شعر گفتن(0.25)
version|نسخه(0.75),متن(0.5),شرح ويژه(0.25),ترجمه(0.25),تفسير(0.25)
very|بسيار(0.75),خيلي(0.75),بسي(0.25),چندان(0.25),زياد(0.25),حتمي(0.25),واقعي(0.25),همان(0.25)
veteran|كهنه سرباز(0.5),سرباز پير(0.25),كهنهكار(0.25),سرباز سابقدار(0.25),كارازموده(0.25)
veterinary|دامپزشكي(0.75)
via|از طريق(0.75),توسط(0.5),بوسيله(0.5),از راه(0.25)
viability|زيست پذيري(0.5),قابليت زيستن(0.25)
viable|قابل دوام(0.75),مناسب رشد و ترقي(0.5),ماندني(0.5),زيست پذير(0.5),زنده ماندني(0.25)
vibrancy|Wird übersetzt(0.75)
vicinity|مجاورت(0.75),نزديكي(0.75),حومه(0.5),همسايگي(0.5),بستگي(0.25)
victim|قرباني(0.75),دستخوش(0.25),هدف(0.25),برخي(0.25),شكار(0.25)
victimization|الت ملعبهسازي(0.5)
victoria|ويكتوريا(0.75)
victorian|ويكتوريا(0.75)
victory|پيروزي(0.75),فتح(0.5),چيرگي(0.25),فيروزي(0.25),ظفر(0.25),نصرت(0.25),غلبه(0.25),فتح و ظفر(0.25)
video|تصويري(0.75),تلويزيوني(0.25),تلويزيون(0.25)
vietnamese|ويتنامي(0.75)
view|ديدن(0.75),از نظر گذراندن(0.25),نظر(0.75),عقيده(0.25),ديد(0.5),منظره(0.5),چشم انداز(0.25),نما(0.5),نظريه(0.25),قضاوت(0.25)
vigorous|شديد(0.75),قوي(0.75),نيرومند(0.5),زورمند(0.5)
vigour|قدرت(0.75),انرژي(0.5),نيرو(0.5),زور(0.5),توان(0.75),نيرومندي(0.5)
village|قريه(0.75),روستا(0.75),دهكده(0.75),ده(0.5),قصبه(0.25),روستايي(0.5)
villages|روستاها(0.75)
villlage|villlage(0.75)
vine|تاك(0.75),درخت مو(0.75),تاكستان ايجاد كردن(0.5)
violation|نقض(0.75),تخلف(0.75),تجاوز(0.5),تخطي(0.75),تعدي(0.25),بلا(0.25),نقض عهد(0.25)
violence|خشونت(0.75),چيرگي(0.25),فشار(0.25),بيدادگري(0.25),جبر(0.25),ستيز(0.25),تندي(0.25),شدت(0.25),سختي(0.25),زور(0.25),اشتلم(0.25),ستم(0.25),بي حرمتي(0.25)
violent|شديد(0.5),قوي(0.25),تند(0.25),سخت(0.25),جابر(0.25),قاهر(0.25),قاهرانه(0.25)
virginity|بكارت(0.75),دختركي(0.75),دوشيزگي(0.5),زندگي تجرد(0.5)
virtually|تقريبا(0.75)
virtue|تقوا(0.75),پاكدامني(0.5),عفت(0.25),تقوي(0.5),حسن(0.5),پرهيز گاري(0.25),پرهيز كاري(0.25)
virus|ويروس(0.75),عامل نقل وانتقال امراض(0.25)
visa|ويزا(0.75),رواديد(0.75),رواديد گذرنامه(0.25),ويزا دادن(0.25)
vision|ديد(0.75),بينايي(0.75),تصور(0.5),خيال(0.25),بصيرت(0.5),رويا(0.5),منظره(0.25),وحي(0.25),الهام(0.25),ديدن(0.25)
visit|بازديد(0.75),ديدار(0.75),عيادت(0.25),ديدن كردن از(0.25),ملاقات كردن(0.25),زيارت كردن(0.25),عيادت كردن(0.25),ديد و بازديد كردن(0.25),سر زدن(0.25),خدمت كسي رسيدن(0.25)
visitor|مهمان(0.75),سياح(0.25),توريست(0.25),ديدارگر(0.25),ديدن كننده(0.25),عيادت كننده(0.25),گشت گر(0.25)
visual|بصري(0.75),ديداري(0.5),ديدني(0.25),وابسته به ديد(0.25),ديدي(0.25),عيني(0.25)
vital|حياتي(0.75),اساسي(0.5),واجب(0.25),وابسته بزندگي(0.25)
vitality|انرژي و زنده دلي(0.75),قدرت يا خاصيت حياتي(0.5),خاصيت حياتي(0.5),سر زندگي(0.5)
vitamin|ويتامين(0.75)
vivid|زنده(0.75),واضح(0.75),روشن(0.75),سرزنده(0.5),سرحال(0.25),خرم(0.25),سر سخت(0.25)
vocational|حرفه اي(0.75)
vociferous|پر سر و صدا(0.75),بلند(0.75)
voice|صدا(0.75),صوت(0.5),واك(0.25),اوا(0.25),بانگ(0.25),ادا كردن(0.25),با صدا بيان كردن(0.25)
void|باطل(0.75),خالي(0.75),بي اعتبار(0.5),پوچ(0.5),تهي(0.5),عاري(0.5),بلاتصدي(0.25),عارياز(0.25),باطل كردن(0.5),بي اثر كردن(0.25),پوچ كردن(0.25),از درجه اعتبار ساقط كردن(0.25),بيرون ريختن(0.25),خارج شدن(0.25),دفع شدن(0.25),باطل شدن(0.25)
voltage|ولتاژ(0.75),اختلاف سطح(0.25),نيروي الكتريك برحسب ولت(0.25)
volume|حجم(0.75),توده(0.25),جلد(0.75),مجلد(0.5),كتاب(0.5),دفتر(0.5),اندازه(0.25),ظرفيت(0.25),درجه صدا(0.25),سفر(0.25),طومار(0.25),بر حجم افزودن(0.25),برزگ شدن(0.25),بصورت مجلد در اوردن(0.25)
voluntary|داوطلبانه(0.75),ارادي(0.5),اختياري(0.5),به خواست(0.25)
volunteer|داوطلب(0.75),فدايي(0.25),سرباز داوطلب(0.25),داوطلب شدن(0.5)
vote|راي(0.75),اخذ راي(0.25),دعا(0.25),راي دادن(0.75),فعاليت انتخاباتي كردن(0.25)
voter|(0.75)
voting|راي گيري(0.75)
vow|نذر(0.75),قول(0.75),عهد(0.75),ميثاق(0.5),پيمان(0.5),سوگند(0.75),سوگند ملايم(0.5),ميعاد(0.5),شرط(0.5),سوگند خوردن(0.5),عهد كردن(0.5)
voyage|سفر(0.75),سفر دريا(0.5),سفر كردن(0.5),سفر دريا كردن(0.5)
vulgarity|اصطلاح عوامانه(0.5),عواميت(0.5),پستي(0.5),وحشيگري(0.5)
wad|نمد(0.75),كهنه(0.5),لايي(0.5),تودهكاه(0.5),توده(0.5),كپه كردن(0.5),لايي گذاشتن(0.5),فشردن(0.5)
wage|دستمزد(0.75),مزد(0.75),اجرت(0.5),دسترنج(0.25),اجر(0.25),كارمزد(0.5),حمل كردن(0.25),اجير كردن(0.25)
waist|دور كمر(0.75),ميان(0.25),كمربند(0.25),ميان تنه(0.25),كمر لباس(0.25)
wait|صبر كنيد(0.75),صبر كردن(0.5),چشم براه بودن(0.25),منتظر شدن(0.25),انتظار كشيدن(0.25),پيشخدمتي كردن(0.25)
waive|چشم پوشيدن از(0.75),از قانون مستثني كردن(0.5)
walk|راه رفتن(0.75),گام زدن(0.25),گردش كردن(0.25),تفرج كردن(0.25),پيادهرفتن(0.25),سير كردن(0.25),تفريح(0.25),خيابان(0.25),راهروي(0.25),راهرو(0.25),گردش پياده(0.25),گردشگاه(0.25),سير(0.25),پياده رو(0.25)
walking|راه رفتن(0.75)
wall|ديوار(0.75),جدار(0.5),حصار(0.5),سد(0.25),محصور كردن(0.25),حصار دار كردن(0.25),ديوار كشيدن(0.25)
walnut|گردو(0.75),درخت گردو(0.5),چوب گردو(0.5),گردكان(0.25),رنگ گردويي(0.25)
want|نياز(0.75),خواست(0.5),حاجت(0.25),فقدان(0.25),عدم(0.25),نقصان(0.25),نداري(0.25),خواستن(0.5),لازم داشتن(0.25),نيازمند بودن به(0.25),نداشتن(0.25),كم داشتن(0.25),فاقد بودن(0.25),كسر داشتن(0.25),محتاج بودن(0.25)
war|جنگ(0.75),رزم(0.25),حرب(0.5),محاربه(0.5),نزاع(0.25),افند(0.25),جنگ كردن(0.25),دشمني كردن(0.25),كشمكش كردن(0.25),عداوت كردن(0.25)
ward|بخش(0.75)
warden|سرپرست(0.75),ناظر(0.5),نگهبان(0.5),متصدي(0.5),زوار(0.5),بازرس(0.5),والي(0.5),قراول(0.5),رئيس(0.25)
warfare|جنگ(0.75),جنگاوري(0.5),نزاع(0.5),محاربه(0.25),زد و خورد(0.25)
warhead|كلاهك(0.75)
warhol|وارهول(0.75)
warn|هشدار دادن(0.5),متنبه كردن(0.25),اخطار كردن به(0.25),تذكر دادن(0.25),اگاه كردن(0.25),خبر دادن(0.25)
warning|هشدار(0.75),اخطار(0.75),تحذير(0.25),اعلام خطر(0.5),اعلام(0.5),اگاه كردن(0.25),اشاره(0.25),زنگ خطر(0.25),اژير(0.25)
warrant|(0.75)
warship|كشتي جنگي(0.75),ناو جنگي(0.75)
wash|شستشو(0.75),غسل(0.5),رخت شويي(0.25),شستن(0.75),غسل ارتماسي دادن(0.25),شستشو دادن(0.25),پاك كردن(0.25)
waste|ضايعات(0.75),اتلاف(0.75),زائد(0.5),باطله(0.5),ضايع كردن(0.25),مصرف كردن(0.25),هرز دادن(0.25),حرام كردن(0.25),بيهوده تلف كردن(0.25),نيازمند كردن(0.25),بي نيرو و قوت كردن(0.25),از بين رفتن(0.25),سياه كردن(0.25),ضعيف شدن(0.25)
watch|ساعت(0.75),ديدبان(0.5),مراقبت(0.5),پاسداري(0.25),كشيك(0.25),مدت كشيك(0.25),ساعت جيبي و مچي(0.25),پاس(0.25),مراقبت كردن(0.25),مواظب بودن(0.25),بر كسي نظارت كردن(0.25),پاسداري كردن(0.25),نگهباني دادن(0.25),نگهبان بودن(0.25),پاييدن(0.25)
water|اب(0.5),ابگونه(0.25),پيشاب(0.25),مايع(0.25),خيساندن(0.25),خيس عرق شدن(0.25),اب دادن(0.25),خيس كردن(0.25)
watercolour|ابرنگ(0.75),اب رنگ(0.5),بنگاب(0.5),نقاشي ابرنگ(0.5)
waterway|راه ابي(0.75),مسير(0.5),ابراه(0.5),مسير ابي(0.5),مسيردريايي و رودخانهاي(0.5)
way|راه(0.75),روش(0.75),طرز(0.5),مسير(0.5),طريق(0.5),نحو(0.5),سياق(0.25),سمت(0.25),سان(0.25),خط(0.25),سبك(0.25),جاده(0.25),طريقه(0.25),عنوان(0.25),رسم(0.25),طور(0.25),مسلك(0.25)
waybill|بار نامه(0.75),خط سير مسافر(0.75),راهنماي مسافرت(0.75)
we|ما(0.75),خودمان(0.25),ضمير اول شخص جمع(0.25)
weak|ضعيف(0.75),لاغر(0.25),بي حال(0.25),عاجز(0.25),ناتوان(0.25),سست(0.25),كم دوام(0.25),كم بنيه(0.25),كم زور(0.25),كمرو(0.25),چيز ابكي(0.25)
weaken|ضعيف شدن(0.5),ضعيف كردن(0.5),عاجز كردن(0.25),نحيف كردن(0.25),سست كردن(0.25),سست شدن(0.25),كم نيرو شدن(0.25),كم كردن(0.25),تقليل دادن(0.25),تضعيف كردن(0.25)
weald|دشت(0.75),جنگل(0.75)
wealth|ثروت(0.75),مال(0.5),دارايي(0.5),سرمايه(0.5),زيادي(0.5),سركيفي(0.25),توانگري(0.25),تمول(0.25),وفور(0.25),خواست(0.25),سامان(0.25),غنا(0.25)
wealthy|ثروتمند(0.75),غني(0.5),پولدار(0.5),توانگر(0.5),دارا(0.25),دولتمند(0.25),چيز دار(0.25),بانوا(0.25)
weapon|سلاح(0.75),اسلحه(0.75),حربه(0.5),جنگ افزار(0.5)
wear|پوشيدن(0.75),ملبس شدن(0.25),در بر كردن(0.25),بر سر گذاشتن(0.25),پاكردن(0.25),دوام كردن(0.25),پوشاندن(0.25),پوشاك(0.75)
weave|بافت(0.75),بافندگي(0.5),بافتن(0.75),درست كردن(0.5)
weaver|بافنده(0.75),نساج(0.5),جولا(0.5)
wedding|عروسي(0.75),عقد(0.25)
week|هفته(0.75),هفت روز(0.25)
weekend|اخر هفته(0.75),اخر هفته(0.5),تعطيل اخر هفته(0.25),تعطيل اخر هفته را گذراندن(0.25)
weekly|هفتگي(0.75),هفتهاي يكبار(0.25),هفته به هفته(0.25)
weight|وزن(0.75)
weighting|وزن(0.75)
weir|بند(0.75),خاكريز(0.75),سدي كه سطح اب را بلند ميكند(0.5)
welcome|خوش امد(0.75),خوشامد(0.5),خوش باش(0.25),خوشامد گفتن(0.25),پذيرايي كردن(0.25)
welfare|رفاه(0.75),اسايش(0.25),شادكامي(0.25),سعادت(0.5),خير(0.25),سامان(0.25)
well|بسيار خوب(0.5),خوش(0.5),تندرست(0.25),سالم(0.25),راحت(0.25),تمام و كمال(0.25),بدون اشكال(0.25),خوب(0.75),بخوبي(0.5),خوش(0.5),تماما(0.25),چاه(0.5),ابده(0.25),چشمه(0.25),دوات(0.25),رو امدن اب و مايع(0.25),خير(0.25),ببالا فوران كردن(0.25),در سطح امدن و جاري شدن(0.25)
were|بود(0.75)
west|غرب(0.75),مغرب(0.5),مغرب زمين(0.25)
western|غربي(0.75),باختري(0.5),مغربي(0.25),وابسته به مغرب يا باختر(0.25)
westminster|وست مينستر(0.75)
wetland|زمين مرطوب(0.5)
wetter|خيس كننده(0.75),نم زننده(0.5)
what|چگونه(0.75),چه(0.75),كدام(0.5),چقدر(0.5),چه نوع(0.25),حرف ربط(0.25),هر چه(0.25),انچه(0.25),چه اندازه(0.25),چه مقدار(0.25)
whatever|هر چه(0.75),هر انچه(0.5),انچه(0.25),هر قدر(0.5),ابدا(0.25)
whatsover|و فيبر(0.75)
wheat|گندم(0.75)
wheel|چرخ(0.75),دور(0.25),چرخش(0.25),رل ماشين(0.25),چرخيدن(0.25),گرداندن(0.25)
when|وقتي كه(0.5),چه وقت(0.5),كي(0.5),چون(0.5),موقعي كه(0.25),در موقع(0.25)
whenever|هر گاه(0.75),هر زمان كه(0.75),هر وقت كه(0.5),هنگاميكه(0.5)
where|كجا(0.75),از كجا(0.75),جايي كه(0.75),در كجا(0.5),در جايي كه(0.5),چه جا(0.25),هر كجا(0.25),در كدام محل(0.25),در چه موقعيتي(0.25),در كدام قسمت(0.25),از چه منبعي(0.25),اينجا(0.25)
whereabouts|محل(0.75)
whereas|در حاليكه(0.5),با در نظر گرفتن اينكه(0.25),نظر به اينكه(0.25),چون(0.25),از انجاييكه(0.25),در حقيقت(0.25)
whereby|به موجب ان(0.75),كه بوسيله ان(0.5),كه بموجب ان(0.25),بچه وسيله(0.25)
whether|خواه(0.75),چه(0.75),ايا(0.25),چه(0.75)
which|كه(0.75),كدام(0.75),اين(0.25),كه اين(0.25),چه(0.5)
whichever|هر كدام كه(0.75),هر يك كه(0.5)
while|در حين(0.5),در صورتيكه(0.25),هنگاميكه(0.25),حال انكه(0.25),مادامي كه(0.25),گذراندن(0.25),تاموقعي كه(0.25)
whilst|در حاليكه(0.75),در مدتي كه(0.5),در خلال مدتي كه(0.25),ضمناينكه(0.25)
white|سفيد(0.75),خنگ(0.25),سفيدي(0.5)
whitehall|وايت(0.75)
whiteness|سفيدي(0.75)
who|كه(0.75),كي(0.75),چه كسي(0.75),چه شخصي(0.25),چه اشخاصي(0.25)
whoever|هر كسي كه(0.5),هر كه(0.5),هر انكه(0.25),هر انكس(0.25)
whole|مجموع(0.75),تمام(0.75),كامل(0.75),همه(0.5),سراسر(0.5),سالم(0.25),درست(0.25),دست نخورده(0.25),بي خرده(0.25),تمام و كمال(0.25)
wholeness|تماميت(0.75)
whom|چه كسي(0.75),كه(0.75),به چه كسي(0.5),چه كسي را(0.5),كسيكه(0.25),ان كسي كه(0.25)
whose|كه(0.75)
why|چرا(0.75),براي چه(0.25),بچه جهت(0.25)
wide|عريض(0.75),وسيع(0.5),پهناور(0.25),پهن(0.5),گشاد(0.25),فراخ(0.25),زياد(0.25),پرت(0.25),كاملا باز(0.25),بسيط(0.25),نا محدود(0.25),وسيع(0.5)
widely|به طور گسترده اي(0.75)
widen|پهن كردن(0.5),گشاد كردن(0.5),عريض كردن(0.5)
widening|گسترش(0.75)
wider|گسترده تر(0.75)
widespread|گسترده(0.75),همه جا منتشر(0.25),شايع(0.5),متداول(0.5)
wild|وحشي(0.75),رام نشده(0.25),سبع(0.25),جنگلي(0.25),شيفته و ديوانه(0.25),طوفاني(0.25),خود رو(0.25),غير اهلي(0.25)
wilderness|بيابان(0.75),صحرا(0.5),سرزميننامسكون و رام نشده(0.25)
wilful|خود سر(0.5),خود راي(0.5),خيره سر(0.5)
will|اراده(0.75),خواست(0.75),وصيت(0.5),ميل(0.5),ارزو(0.25),وصيتنامه(0.5),مشيت(0.25),خواهش(0.25),نيت(0.25),قصد(0.25),خواستن(0.25),ميل كردن(0.25),اراده كردن(0.25),وصيت كردن(0.25),فعل كمكي'خواهم(0.25),خواستاربودن(0.25)
willing|مايل(0.75),راضي(0.75),حاضر(0.75),راغب(0.5),خواهان(0.5),مشتاق(0.5),خواستار(0.5)
wimbledon|ويمبلدون(0.75)
win|پيروزي(0.75),فتح(0.25),برد(0.75),غلبه(0.25),پيروز شدن(0.75),بردن(0.5),غلبه كردن(0.25),فتح كردن(0.25),فاتحشدن(0.25),غلبهيافتن بر(0.25),بدست اوردن(0.25),تحصيل كردن(0.25),تسخير كردن(0.25)
wind|باد(0.75),نفخ(0.5),انحنا(0.25),نفس(0.25),پيچ دان(0.25),پيچاندن(0.25),پيچيدن(0.25),كوك كردن(0.25),حلقه زدن(0.25),چرخاندن(0.25),بادخورده كردن(0.25),در معرض باد گذاردن(0.25),از نفس انداختن(0.25),از نفس افتادن(0.25),انحنا يافتن(0.25)
window|پنجره(0.75),دريچه(0.5),روزنه(0.25),ويترين(0.25),پنجره دار كردن(0.25)
wing|بال(0.75),جناح(0.75),شاخه(0.5),بال مانند(0.25),پره(0.25),قسمتي از يك بخش يا ناحيه(0.25),گروه هوايي(0.25),زائده حبابي(0.25),زائده پره دار(0.25),شعبه(0.25),دسته حزبي(0.25),بالدار كردن(0.25),پرداركردن(0.25),پيمودن(0.25)
